dept_id,dept_name,sort_no,deadline_time,entry_days,is_active,note
gairai,外来,10,18:00,1234567,1,現行Excel「①」の外来欄
byoto,病棟,20,18:00,1234567,1,現行Excel「H」平均在院日数統計。3階・4階・5階をまとめて入力する
kyukyu,救急,30,18:00,1234567,1,現行Excel「②」救急搬入欄と「⑨時間外ウォークイン」
dock,健診センター,40,18:00,12345,1,現行Excel「③」人間ドック・健康診断欄
naishikyo,内視鏡室,50,18:00,12345,1,現行Excel「③」EGD・CF・ERCP欄
housha,放射線科,60,18:00,1234567,1,現行Excel「④」と「⑤」放射線科②
kensa,検査科,70,18:00,1234567,1,現行Excel「⑤」検査科①②
yakuzai,薬剤科,80,18:00,1234567,1,現行Excel「⑥」薬剤科
eiyou,栄養科,90,18:00,12345,1,現行Excel「⑥」栄養科（栄養指導）
rehab,リハビリテーション科,100,18:00,123456,1,現行Excel「⑥」リハビリ単位数
ope,手術室,110,18:00,12345,1,現行Excel「⑦」手術室・内視鏡手術
renkei,地域医療連携室,120,18:00,12345,1,現行Excel「⑦」紹介欄と病院日誌の医療連携欄
zaitaku,在宅部門,130,18:00,12345,1,現行Excel「在宅①」在宅患者登録数
touseki,透析室,140,18:00,123456,1,現行Excel「在宅②」透析件数・透析登録人数
toutyoku,当直,150,09:00,1234567,1,現行Excel「在宅②」介護保険・医療保険の訪問系。当直者が入力する運用
kansen,感染対策室,160,18:00,1234567,1,現行Excel「⑧コロナ対策」
shisetsu,施設課,170,18:00,12345,1,病院日誌の水道光熱費欄
jimu,事務課,180,18:00,1234567,1,病院日誌の天候・当直者・呼び出し・会議・行事・人事欄
ijika,医事課,190,18:00,1234567,1,特記事項（定員超過報告）の入力と、全部署の確定
