item_code,item_name,dept_id,group_code,group_name,calc_type,calc_source,value_type,unit,sort_no,required,min_value,max_value,legacy_column,excel_ref,note,agg_type
gairai_am,"午前 患者数",gairai,gairai_cnt,外来患者数,input,,int,名,10,1,0,2000,g1,,病院日誌は時間帯別。Excel①の外来患者数はこの合計,sum
gairai_pm,"午後 患者数",gairai,gairai_cnt,外来患者数,input,,int,名,20,1,0,2000,g2,,,sum
gairai_night,"夜間 患者数",gairai,gairai_cnt,外来患者数,input,,int,名,30,1,0,2000,g3,,,sum
gairai_ex1,"時間外１ 患者数",gairai,gairai_cnt,外来患者数,input,,int,名,40,1,0,2000,g4,,現行gairai.phpで「時間外」が2行あるため暫定で1/2とした。名称は要確認,sum
gairai_ex2,"時間外２ 患者数",gairai,gairai_cnt,外来患者数,input,,int,名,50,1,0,2000,g5,,同上,sum
gairai_am_new,"午前 新患",gairai,gairai_cnt,外来患者数,input,,int,名,60,1,0,500,g1n,,,sum
gairai_pm_new,"午後 新患",gairai,gairai_cnt,外来患者数,input,,int,名,70,1,0,500,g2n,,,sum
gairai_night_new,"夜間 新患",gairai,gairai_cnt,外来患者数,input,,int,名,80,1,0,500,g3n,,,sum
gairai_ex1_new,"時間外１ 新患",gairai,gairai_cnt,外来患者数,input,,int,名,90,1,0,500,g4n,,,sum
gairai_ex2_new,"時間外２ 新患",gairai,gairai_cnt,外来患者数,input,,int,名,100,1,0,500,g5n,,,sum
gairai_total,"外来患者数 計",gairai,gairai_cnt,外来患者数,sum,"gairai_am,gairai_pm,gairai_night,gairai_ex1,gairai_ex2",int,名,110,0,,,,①!C,,sum
gairai_new_total,"新患 計",gairai,gairai_cnt,外来患者数,sum,"gairai_am_new,gairai_pm_new,gairai_night_new,gairai_ex1_new,gairai_ex2_new",int,名,120,0,,,,①!E,,sum
gairai_ganchemo,外来癌化学療法,gairai,gairai_cnt,外来患者数,input,,int,件,130,0,0,100,k16,①!S,,sum
byoto3_zaiin,"3階 在院患者数",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,200,1,0,60,n3,H!I,"病院日誌のn3とExcel H!I（延患者数）は同一",sum
byoto4_zaiin,"4階 在院患者数",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,210,1,0,60,n4,H!S,,sum
byoto5_zaiin,"5階 在院患者数",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,220,1,0,60,n5,H!AC,,sum
byoto3_nyuin,"3階 新入院",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,230,1,0,60,,H!C,,sum
byoto4_nyuin,"4階 新入院",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,240,1,0,60,,H!M,,sum
byoto5_nyuin,"5階 新入院",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,250,1,0,60,,H!W,,sum
byoto3_taiin,"3階 退院",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,260,1,0,60,,H!E,,sum
byoto4_taiin,"4階 退院",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,270,1,0,60,,H!O,,sum
byoto5_taiin,"5階 退院",byoto,byoto_zaiin,"病棟別 在院・異動",input,,int,名,280,1,0,60,,H!Y,,sum
byoto3_tennyu,"3階 転入",byoto,byoto_idou,"病棟別 在院・異動",input,,int,名,290,0,0,60,,H!D,転入・転出は新規のみ計上（同一患者の再転入は数えない）,sum
byoto4_tennyu,"4階 転入",byoto,byoto_idou,"病棟別 在院・異動",input,,int,名,300,0,0,60,,H!N,,sum
byoto5_tennyu,"5階 転入",byoto,byoto_idou,"病棟別 在院・異動",input,,int,名,310,0,0,60,,H!X,,sum
byoto3_tenshutsu,"3階 転出",byoto,byoto_idou,"病棟別 在院・異動",input,,int,名,320,0,0,60,,H!F,,sum
byoto4_tenshutsu,"4階 転出",byoto,byoto_idou,"病棟別 在院・異動",input,,int,名,330,0,0,60,,H!P,,sum
byoto5_tenshutsu,"5階 転出",byoto,byoto_idou,"病棟別 在院・異動",input,,int,名,340,0,0,60,,H!Z,,sum
byoto3_touhi,"3階 当日退院 在院日数",byoto,byoto_idou,"病棟別 在院・異動",input,,int,日,350,0,0,60,,H!H,当日入院しその日のうちに退院した患者（実日数1日）,sum
byoto4_touhi,"4階 当日退院 在院日数",byoto,byoto_idou,"病棟別 在院・異動",input,,int,日,360,0,0,60,,H!R,,sum
byoto5_touhi,"5階 当日退院 在院日数",byoto,byoto_idou,"病棟別 在院・異動",input,,int,日,370,0,0,60,,H!AB,,sum
byoto3_tenshutsu_zaiin,"3階 転出 在院日数",byoto,byoto_idou,"病棟別 在院・異動",input,,int,日,380,0,0,999,,H!G,,sum
byoto4_tenshutsu_zaiin,"4階 転出 在院日数",byoto,byoto_idou,"病棟別 在院・異動",input,,int,日,390,0,0,999,,H!Q,,sum
byoto5_tenshutsu_zaiin,"5階 転出 在院日数",byoto,byoto_idou,"病棟別 在院・異動",input,,int,日,400,0,0,999,,H!AA,,sum
byoto3_zaiin_total,"3階 延患者数合計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_zaiin,byoto3_touhi,byoto3_tenshutsu_zaiin",int,名,410,0,,,,H!J,,sum
byoto4_zaiin_total,"4階 延患者数合計",byoto,byoto_calc,"病棟 集計",sum,"byoto4_zaiin,byoto4_touhi,byoto4_tenshutsu_zaiin",int,名,420,0,,,,H!T,,sum
byoto5_zaiin_total,"5階 延患者数合計",byoto,byoto_calc,"病棟 集計",sum,"byoto5_zaiin,byoto5_touhi,byoto5_tenshutsu_zaiin",int,名,430,0,,,,H!AD,,sum
byoto_zaiin_all,"在院患者数 計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_zaiin,byoto4_zaiin,byoto5_zaiin",int,名,440,0,,,,"②!O / H!AM",,sum
byoto_zaiin_total_all,"延患者数合計 計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_zaiin_total,byoto4_zaiin_total,byoto5_zaiin_total",int,名,450,0,,,,H!AN,,sum
byoto_nyuin_all,"新入院 計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_nyuin,byoto4_nyuin,byoto5_nyuin",int,名,460,0,,,new,"②!K / H!AG",,sum
byoto_taiin_all,"退院 計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_taiin,byoto4_taiin,byoto5_taiin",int,名,470,0,,,tai,"②!M / H!AI",,sum
byoto_tennyu_all,"転入 計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_tennyu,byoto4_tennyu,byoto5_tennyu",int,名,480,0,,,,H!AH,,sum
byoto_tenshutsu_all,"転出 計",byoto,byoto_calc,"病棟 集計",sum,"byoto3_tenshutsu,byoto4_tenshutsu,byoto5_tenshutsu",int,名,490,0,,,,H!AJ,,sum
qq_kensu,"救急搬入 件数",kyukyu,qq,救急搬入,input,,int,件,500,1,0,100,qq4,②!R,,sum
qq_kanja,"救急搬入 患者数",kyukyu,qq,救急搬入,input,,int,名,510,1,0,100,,②!T,,sum
